#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,Los Angeles Dodgers,NL,West,235295219,94,68,.580,1,2,4,216302909,Zack Greinke (1)
2,New York Yankees,AL,East,203812506,84,78,.519,2,8,13,228995945,CC Sabathia (4)
3,Philadelphia Phillies,NL,East,180052723,73,89,.451,5,12,23,159578214,Cliff Lee (2)
4,Boston Red Sox,AL,East,162817411,71,91,.438,5,12,25,158967286,Jake Peavy (34)
5,Detroit Tigers,AL,Central,162228527,90,72,.556,1,3,6,149046844,Miguel Cabrera (13)
6,Los Angeles Angels,AL,West,155692000,98,64,.605,1,1,1,142165250,Albert Pujols (10)
7,San Francisco Giants,NL,West,154185878,88,74,.543,2,4,8,142180333,Matt Cain (18)
8,Texas Rangers,AL,West,136036172,67,95,.414,5,15,28,127197575,Prince Fielder (5)
9,Washington Nationals,NL,East,134704437,96,66,.593,1,1,2,112431770,Jayson Werth (19)
10,Toronto Blue Jays,AL,East,132628700,83,79,.512,3,9,14,118244039,Mark Buehrle (23)
11,Arizona Diamondbacks,NL,West,112688666,64,98,.395,5,15,30,90158500,Aaron Hill (93)
12,Cincinnati Reds,NL,Central,112390772,76,86,.469,4,11,21,110565728,Joey Votto (79)
13,St. Louis Cardinals,NL,Central,111020360,90,72,.556,1,3,5,116702085,Adam Wainwright (21)
14,Atlanta Braves,NL,East,110897341,79,83,.488,2,8,17,89288193,Justin Upton (56)
15,Baltimore Orioles,AL,East,107406623,96,66,.593,1,2,3,91793333,Adam Jones (69)
16,Milwaukee Brewers,NL,Central,103844806,82,80,.506,3,6,15,91003366,Aramis Ramirez (50)
17,Colorado Rockies,NL,West,95832071,66,96,.407,4,14,29,75449071,Troy Tulowitzki (35)
18,Seattle Mariners,AL,West,92081943,87,75,.537,3,6,11,84295952,Robinson Cano (5)
19,Kansas City Royals,AL,Central,92034345,89,73,.549,2,4,7,80491725,James Shields (65)
20,Chicago White Sox,AL,Central,91159254,73,89,.451,4,11,24,124065277,John Danks (43)
21,San Diego Padres,NL,West,90094196,77,85,.475,3,10,20,71689900,Chase Headley (102)
22,New York Mets,NL,East,89051758,79,83,.488,3,7,16,88877033,David Wright (22)
23,Chicago Cubs,NL,Central,89007857,73,89,.451,5,13,22,104150726,Edwin Jackson (70)
24,Minnesota Twins,AL,Central,85776500,70,92,.432,5,13,27,75562500,Joe Mauer (10)
25,Oakland Athletics,AL,West,83401400,88,74,.543,2,5,10,68577000,Yoenis Cespedes (103)
26,Cleveland Baseball Team,AL,Central,82534800,85,77,.525,3,7,12,82517300,Nick Swisher (51)
27,Pittsburgh Pirates,NL,Central,78111667,88,74,.543,2,5,9,66289524,Wandy Rodriguez (70)
28,Tampa Bay Rays,AL,East,77062891,77,85,.475,4,10,18,57030272,David Price (60)
29,Miami Marlins,NL,East,47565400,77,85,.475,4,9,19,39621900,Giancarlo Stanton (177)
30,Houston Astros,AL,West,44544174,70,92,.432,4,14,26,24328538,Scott Feldman (79)
