#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,New York Yankees,AL,East,206333389,95,67,.586,2,2,3,201449189,Alex Rodriguez (1)
2,Boston Red Sox,AL,East,162747333,89,73,.549,3,5,10,121745999,John Lackey (12)
3,Chicago Cubs,NL,Central,146859000,75,87,.463,5,13,23,134809000,Alfonso Soriano (8)
4,Philadelphia Phillies,NL,East,141927381,97,65,.599,1,1,1,113004046,Ryan Howard (8)
5,New York Mets,NL,East,132701445,79,83,.488,4,10,20,149373987,Johan Santana (5)
6,Detroit Tigers,AL,Central,122864929,81,81,.500,3,9,16,115085145,Miguel Cabrera (6)
7,Chicago White Sox,AL,Central,108273197,88,74,.543,2,6,11,96068500,Jake Peavy (27)
8,Los Angeles Angels,AL,West,105013667,80,82,.494,3,10,17,113709000,Torii Hunter (14)
9,Seattle Mariners,AL,West,98376667,61,101,.377,4,14,29,98904166,Ichiro Suzuki (16)
10,San Francisco Giants,NL,West,97828833,92,70,.568,1,2,5,82616450,Barry Zito (14)
11,Minnesota Twins,AL,Central,97559167,94,68,.580,1,3,4,65299266,Justin Morneau (27)
12,Los Angeles Dodgers,NL,West,94945517,80,82,.494,4,8,19,100414592,Manny Ramirez (13)
13,St. Louis Cardinals,NL,Central,93540753,86,76,.531,2,6,12,77605109,Matt Holliday (21)
14,Houston Astros,NL,Central,92355500,76,86,.469,4,12,22,102996414,Carlos Lee (8)
15,Atlanta Braves,NL,East,84423667,91,71,.562,2,3,6,96726166,Derek Lowe (27)
16,Colorado Rockies,NL,West,84227000,83,79,.512,3,7,14,75201000,Todd Helton (18)
17,Baltimore Orioles,AL,East,81612500,66,96,.407,5,13,27,67101666,Kevin Millwood (58)
18,Milwaukee Brewers,NL,Central,81108279,77,85,.475,3,11,21,80182502,Jeff Suppan (46)
19,Cincinnati Reds,NL,Central,72386544,91,71,.562,1,4,7,73558500,Aaron Harang (48)
20,Kansas City Royals,AL,Central,72267710,67,95,.414,5,12,26,70519333,Gil Meche (53)
21,Tampa Bay Rays,AL,East,71923471,96,66,.593,1,1,2,63313034,Carlos Pena (76)
22,Toronto Blue Jays,AL,East,62689357,85,77,.525,4,7,13,80538300,Vernon Wells (24)
23,Washington Nationals,NL,East,61425000,69,93,.426,5,14,24,60328000,Adam Dunn (58)
24,Cleveland Baseball Team,AL,Central,61203967,69,93,.426,4,11,25,81579166,Travis Hafner (67)
25,Arizona Diamondbacks,NL,West,60718167,65,97,.401,5,15,28,73516666,Dan Haren (104)
26,Florida Marlins,NL,East,55641500,80,82,.494,3,9,18,36834000,Nate Robertson (77)
27,Texas Rangers,AL,West,55250545,90,72,.556,1,4,9,68178798,Michael Young (41)
28,Oakland Athletics,AL,West,51654900,81,81,.500,2,8,15,62310000,Eric Chavez (48)
29,San Diego Padres,NL,West,37799300,90,72,.556,2,5,8,43734200,Chris Young (140)
30,Pittsburgh Pirates,NL,Central,34943000,57,105,.352,6,16,30,48693000,Paul Maholm (172)
