#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,Boston Red Sox,AL,East,235649368,108,54,.667,1,1,1,174287098,David Price (4)
2,San Francisco Giants,NL,West,208509901,73,89,.451,4,12,21,176531278,Buster Posey (27)
3,Los Angeles Dodgers,NL,West,186138211,92,71,.564,1,3,7,187989811,Clayton Kershaw (2)
4,Chicago Cubs,NL,Central,183463459,95,68,.583,2,2,6,170088502,Yu Darvish (11)
5,Washington Nationals,NL,East,181586759,82,80,.506,2,8,16,162742157,Bryce Harper (24)
6,Los Angeles Angels,AL,West,174592209,80,82,.494,4,8,17,143965833,Mike Trout (1)
7,New York Yankees,AL,East,168541038,100,62,.617,2,3,3,170389199,Giancarlo Stanton (11)
8,Toronto Blue Jays,AL,East,162664502,73,89,.451,4,10,22,162353367,Russell Martin (34)
9,Seattle Mariners,AL,West,162480174,89,73,.549,3,7,12,155207720,Felix Hernandez (10)
10,St. Louis Cardinals,NL,Central,161005146,88,74,.543,3,6,13,146630000,Yadier Molina (34)
11,Houston Astros,AL,West,159529730,103,59,.636,1,2,2,127443900,Justin Verlander (8)
12,New York Mets,NL,East,155765125,77,85,.475,4,11,20,176284679,Yoenis Cespedes (7)
13,Texas Rangers,AL,West,144498078,67,95,.414,5,11,23,178431396,Shin-Soo Choo (34)
14,Baltimore Orioles,AL,East,143600045,47,115,.290,5,15,30,161684185,Chris Davis (49)
15,Colorado Rockies,NL,West,141339833,91,72,.558,2,4,9,101513571,Ian Desmond (21)
16,Cleveland Baseball Team,AL,Central,137346173,91,71,.562,1,5,8,115991166,Josh Donaldson (17)
17,Arizona Diamondbacks,NL,West,132495446,82,80,.506,3,9,15,90730499,Zack Greinke (3)
18,Minnesota Twins,AL,Central,131374996,78,84,.481,2,9,19,100787500,Joe Mauer (17)
19,Kansas City Royals,AL,Central,129967987,58,104,.358,5,14,29,132091916,Alex Gordon (34)
20,Detroit Tigers,AL,Central,129917192,64,98,.395,3,12,26,180250600,Miguel Cabrera (4)
21,Atlanta Braves,NL,East,120542785,90,72,.556,1,5,11,137339527,Freddie Freeman (29)
22,Cincinnati Reds,NL,Central,101185579,67,95,.414,5,13,24,82375785,Joey Votto (11)
23,Miami Marlins,NL,East,98826644,63,98,.391,5,15,27,115348302,Martin Prado (77)
24,Philadelphia Phillies,NL,East,96848371,80,82,.494,3,10,18,87418378,Jake Arrieta (4)
25,San Diego Padres,NL,West,96131798,66,96,.407,5,14,25,34574400,Eric Hosmer (34)
26,Milwaukee Brewers,NL,Central,90237112,96,67,.589,1,1,5,61020089,Ryan Braun (41)
27,Pittsburgh Pirates,NL,Central,87860654,82,79,.509,4,7,14,94637833,Francisco Cervelli (113)
28,Tampa Bay Rays,AL,East,78231049,90,72,.556,3,6,10,69982520,Kevin Kiermaier (226)
29,Chicago White Sox,AL,Central,72177640,62,100,.383,4,13,28,109591167,James Shields (29)
30,Oakland Athletics,AL,West,68534631,97,65,.599,2,4,4,70601667,Khris Davis (113)
