#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,Los Angeles Dodgers,NL,West,187989811,104,58,.642,1,1,1,253639162,Clayton Kershaw (1)
2,Detroit Tigers,AL,Central,180250600,64,98,.395,5,15,29,199525500,Justin Verlander (4)
3,Texas Rangers,AL,West,178431396,78,84,.481,4,9,16,161246720,Cole Hamels (11)
4,San Francisco Giants,NL,West,176531278,64,98,.395,5,15,30,171464943,Buster Posey (21)
5,New York Mets,NL,East,176284679,70,92,.432,4,12,25,130612115,Yoenis Cespedes (11)
6,Boston Red Sox,AL,East,174287098,93,69,.574,1,3,6,199864178,David Price (3)
7,New York Yankees,AL,East,170389199,91,71,.562,2,4,8,227854349,CC Sabathia (8)
8,Chicago Cubs,NL,Central,170088502,92,70,.568,1,4,7,167444167,Jason Heyward (18)
9,Washington Nationals,NL,East,162742157,97,65,.599,1,2,4,146686385,Jayson Werth (23)
10,Toronto Blue Jays,AL,East,162353367,76,86,.469,4,11,19,140582027,Troy Tulowitzki (27)
11,Baltimore Orioles,AL,East,161684185,75,87,.463,5,13,20,147943713,Chris Davis (47)
12,Seattle Mariners,AL,West,155207720,78,84,.481,3,10,17,144996858,Felix Hernandez (6)
13,St. Louis Cardinals,NL,Central,146630000,83,79,.512,3,7,12,149186000,Adam Wainwright (34)
14,Los Angeles Angels,AL,West,143965833,80,82,.494,2,6,15,166831190,Albert Pujols (6)
15,Atlanta Braves,NL,East,137339527,72,90,.444,3,10,23,84821541,Matt Kemp (18)
16,Kansas City Royals,AL,Central,132091916,80,82,.494,3,8,13,137606125,Alex Gordon (51)
17,Houston Astros,AL,West,127443900,101,61,.623,1,2,3,96643000,Brian McCann (47)
18,Cleveland Baseball Team,AL,Central,115991166,102,60,.630,1,1,2,98006899,Edwin Encarnacion (83)
19,Miami Marlins,NL,East,115348302,77,85,.475,2,8,18,70464500,Giancarlo Stanton (65)
20,Chicago White Sox,AL,Central,109591167,67,95,.414,4,14,27,115998667,James Shields (23)
21,Colorado Rockies,NL,West,101513571,87,75,.537,3,5,9,113242571,Carlos Gonzalez (27)
22,Minnesota Twins,AL,Central,100787500,85,77,.525,2,5,11,104591200,Joe Mauer (10)
23,Pittsburgh Pirates,NL,Central,94637833,75,87,.463,4,9,22,99960499,Andrew McCutchen (67)
24,Arizona Diamondbacks,NL,West,90730499,93,69,.574,2,3,5,98657436,Zack Greinke (2)
25,Philadelphia Phillies,NL,East,87418378,66,96,.407,5,14,28,103346668,Jeremy Hellickson (45)
26,Cincinnati Reds,NL,Central,82375785,68,94,.420,5,13,26,93171452,Joey Votto (14)
27,Oakland Athletics,AL,West,70601667,75,87,.463,5,12,21,85823390,Ryan Madson (159)
28,Tampa Bay Rays,AL,East,69982520,80,82,.494,3,7,14,64120323,Evan Longoria (83)
29,Milwaukee Brewers,NL,Central,61020089,86,76,.531,2,6,10,62964319,Ryan Braun (36)
30,San Diego Padres,NL,West,34574400,71,91,.438,4,11,24,100547000,Jered Weaver (330)
