#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,Los Angeles Dodgers,NL,West,230352402,92,70,.568,1,4,6,235295219,Clayton Kershaw (1)
2,New York Yankees,AL,East,213472857,87,75,.537,2,4,9,203812506,Mark Teixeira (11)
3,Washington Nationals,NL,East,174510977,83,79,.512,2,7,13,134704437,Jayson Werth (19)
4,Detroit Tigers,AL,Central,172792250,74,87,.460,5,14,22,162228527,Justin Verlander (2)
5,Boston Red Sox,AL,East,168691914,78,84,.481,5,11,19,162817411,Hanley Ramirez (27)
6,San Francisco Giants,NL,West,166495942,84,78,.519,2,6,12,154185878,Matt Cain (23)
7,Los Angeles Angels,AL,West,146449583,85,77,.525,3,6,11,155692000,Albert Pujols (7)
8,Texas Rangers,AL,West,144816873,88,74,.543,1,3,8,136036172,Josh Hamilton (4)
9,Philadelphia Phillies,NL,East,133048000,63,99,.389,5,15,30,180052723,Ryan Howard (4)
10,San Diego Padres,NL,West,126619628,74,88,.457,4,9,23,90094196,Matt Kemp (21)
11,Seattle Mariners,AL,West,123225842,76,86,.469,4,12,20,92081943,Felix Hernandez (6)
12,St. Louis Cardinals,NL,Central,120301957,100,62,.617,1,1,1,111020360,Adam Wainwright (29)
13,Baltimore Orioles,AL,East,118862632,81,81,.500,3,9,16,107406623,Adam Jones (67)
14,Cincinnati Reds,NL,Central,117732284,64,98,.395,5,14,29,112390772,Joey Votto (58)
15,Chicago Cubs,NL,Central,117164522,97,65,.599,3,3,3,89007857,Jon Lester (24)
16,Toronto Blue Jays,AL,East,116415800,93,69,.574,1,2,5,132628700,Jose Reyes (14)
17,Kansas City Royals,AL,Central,112914525,95,67,.586,1,1,4,92034345,Alex Gordon (64)
18,Chicago White Sox,AL,Central,110712866,76,86,.469,4,13,21,91159254,John Danks (49)
19,Minnesota Twins,AL,Central,108262000,83,79,.512,2,7,14,85776500,Joe Mauer (12)
20,New York Mets,NL,East,100133953,90,72,.556,1,5,7,89051758,David Wright (30)
21,Milwaukee Brewers,NL,Central,98683035,68,94,.420,4,11,25,103844806,Aramis Ramirez (58)
22,Colorado Rockies,NL,West,98261171,68,94,.420,5,12,26,95832071,Troy Tulowitzki (24)
23,Atlanta Braves,NL,East,89622648,67,95,.414,4,13,28,110897341,Trevor Cahill (84)
24,Cleveland Baseball Team,AL,Central,87746766,81,80,.503,3,8,15,82534800,Nick Swisher (53)
25,Pittsburgh Pirates,NL,Central,85885832,98,64,.605,2,2,2,78111667,Francisco Liriano (96)
26,Miami Marlins,NL,East,84637500,71,91,.438,3,10,24,47565400,Martin Prado (102)
27,Oakland Athletics,AL,West,80786666,68,94,.420,5,15,27,83401400,Scott Kazmir (71)
28,Tampa Bay Rays,AL,East,74849584,80,82,.494,4,10,17,77062891,Evan Longoria (97)
29,Houston Astros,AL,West,69064200,86,76,.531,2,5,10,44544174,Scott Feldman (113)
30,Arizona Diamondbacks,NL,West,65770333,79,83,.488,3,8,18,112688666,Aaron Hill (88)
