#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,New York Yankees,AL,East,228995945,85,77,.525,3,8,15,197962289,Alex Rodriguez (1)
2,Los Angeles Dodgers,NL,West,216302909,92,70,.568,1,4,7,95143575,Adrian Gonzalez (9)
3,Philadelphia Phillies,NL,East,159578214,73,89,.451,4,13,24,174538938,Cliff Lee (2)
4,Boston Red Sox,AL,East,158967286,97,65,.599,1,1,2,173186617,John Lackey (35)
5,Detroit Tigers,AL,Central,149046844,93,69,.574,1,3,6,132300000,Prince Fielder (6)
6,San Francisco Giants,NL,West,142180333,76,86,.469,3,8,19,81978100,Tim Lincecum (8)
7,Los Angeles Angels,AL,West,142165250,78,84,.481,3,10,17,154485166,Josh Hamilton (24)
8,Texas Rangers,AL,West,127197575,91,72,.558,2,6,10,120510974,Adrian Beltre (33)
9,Chicago White Sox,AL,Central,124065277,63,99,.389,5,14,28,96919500,Jake Peavy (32)
10,Toronto Blue Jays,AL,East,118244039,74,88,.457,5,11,23,75489200,Jose Bautista (48)
11,St. Louis Cardinals,NL,Central,116702085,97,65,.599,1,1,1,110300862,Matt Holliday (30)
12,Washington Nationals,NL,East,112431770,86,76,.531,2,6,13,81336143,Jayson Werth (27)
13,Cincinnati Reds,NL,Central,110565728,90,72,.556,3,5,11,82203616,Joey Votto (22)
14,Chicago Cubs,NL,Central,104150726,66,96,.407,5,14,26,88197033,Alfonso Soriano (21)
15,Baltimore Orioles,AL,East,91793333,85,77,.525,4,9,14,81428999,Nick Markakis (38)
16,Milwaukee Brewers,NL,Central,91003366,74,88,.457,4,11,21,97653944,Rickie Weeks (78)
17,Arizona Diamondbacks,NL,West,90158500,81,81,.500,2,7,16,74284833,Miguel Montero (92)
18,Atlanta Braves,NL,East,89288193,96,66,.593,1,2,3,83309942,Dan Uggla (55)
19,New York Mets,NL,East,88877033,74,88,.457,3,10,22,93353983,David Wright (88)
20,Seattle Mariners,AL,West,84295952,71,91,.438,4,12,25,117620683,Felix Hernandez (14)
21,Cleveland Baseball Team,AL,Central,82517300,92,70,.568,2,4,8,78430300,Nick Swisher (78)
22,Kansas City Royals,AL,Central,80491725,86,76,.531,3,7,12,60916225,Ervin Santana (57)
23,Minnesota Twins,AL,Central,75562500,66,96,.407,4,13,27,94085000,Joe Mauer (6)
24,Colorado Rockies,NL,West,75449071,74,88,.457,5,12,20,78069571,Jorge De La Rosa (78)
25,San Diego Padres,NL,West,71689900,76,86,.469,4,9,18,55244700,Carlos Quentin (104)
26,Oakland Athletics,AL,West,68577000,96,66,.593,1,2,4,55372500,Chris Young (116)
27,Pittsburgh Pirates,NL,Central,66289524,94,68,.580,2,3,5,63431999,AJ Burnett (28)
28,Tampa Bay Rays,AL,East,57030272,92,71,.564,2,5,9,64173500,David Price (103)
29,Miami Marlins,NL,East,39621900,62,100,.383,5,15,29,118078000,Ricky Nolasco (76)
30,Houston Astros,AL,West,24328538,51,111,.315,5,15,30,60651000,Bud Norris (286)
