#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,Los Angeles Dodgers,NL,West,253639162,91,71,.562,1,3,6,230352402,Clayton Kershaw (1)
2,New York Yankees,AL,East,227854349,84,78,.519,4,8,15,213472857,CC Sabathia (6)
3,Boston Red Sox,AL,East,199864178,93,69,.574,1,3,5,168691914,David Price (3)
4,Detroit Tigers,AL,Central,199525500,86,75,.534,2,6,11,172792250,Miguel Cabrera (4)
5,San Francisco Giants,NL,West,171464943,87,75,.537,2,4,9,166495942,Buster Posey (24)
6,Chicago Cubs,NL,Central,167444167,103,58,.640,1,1,1,117164522,Jon Lester (24)
7,Los Angeles Angels,AL,West,166831190,74,88,.457,4,12,21,146449583,Albert Pujols (6)
8,Texas Rangers,AL,West,161246720,95,67,.586,1,1,3,144816873,Prince Fielder (10)
9,St. Louis Cardinals,NL,Central,149186000,86,76,.531,2,6,13,120301957,Adam Wainwright (34)
10,Baltimore Orioles,AL,East,147943713,89,73,.549,2,5,7,118862632,Chris Davis (43)
11,Washington Nationals,NL,East,146686385,95,67,.586,1,2,2,174510977,Jayson Werth (20)
12,Seattle Mariners,AL,West,144996858,86,76,.531,2,7,12,123225842,Felix Hernandez (6)
13,Toronto Blue Jays,AL,East,140582027,89,73,.549,3,4,8,116415800,Troy Tulowitzki (24)
14,Kansas City Royals,AL,Central,137606125,81,81,.500,3,10,16,112914525,Alex Gordon (88)
15,New York Mets,NL,East,130612115,87,75,.537,2,5,10,100133953,David Wright (24)
16,Chicago White Sox,AL,Central,115998667,78,84,.481,4,11,19,110712866,John Danks (64)
17,Colorado Rockies,NL,West,113242571,75,87,.463,3,9,20,98261171,Carlos Gonzalez (43)
18,Minnesota Twins,AL,Central,104591200,59,103,.364,5,15,30,108262000,Joe Mauer (12)
19,Philadelphia Phillies,NL,East,103346668,71,91,.438,4,11,23,133048000,Ryan Howard (6)
20,San Diego Padres,NL,West,100547000,68,94,.420,5,14,29,126619628,Matt Kemp (18)
21,Pittsburgh Pirates,NL,Central,99960499,78,83,.484,3,8,18,85885832,Francisco Liriano (73)
22,Arizona Diamondbacks,NL,West,98657436,69,93,.426,4,12,25,65770333,Zack Greinke (2)
23,Cleveland Baseball Team,AL,Central,98006899,94,67,.584,1,2,4,87746766,Carlos Santana (144)
24,Houston Astros,AL,West,96643000,84,78,.519,3,9,14,69064200,Colby Rasmus (53)
25,Cincinnati Reds,NL,Central,93171452,68,94,.420,5,15,28,117732284,Joey Votto (24)
26,Oakland Athletics,AL,West,85823390,69,93,.426,5,13,24,80786666,Coco Crisp (99)
27,Atlanta Braves,NL,East,84821541,68,93,.422,5,13,26,89622648,Freddie Freeman (88)
28,Miami Marlins,NL,East,70464500,79,82,.491,3,7,17,84637500,Martin Prado (99)
29,Tampa Bay Rays,AL,East,64120323,68,94,.420,5,14,27,74849584,Evan Longoria (87)
30,Milwaukee Brewers,NL,Central,62964319,73,89,.451,4,10,22,98683035,Ryan Braun (35)
